Perioden;Verwacht_aantal_overledenen;Ondergrens;Bovengrens
2020W101;3278;2628;3928
2020W102;3312;2649;3974
2020W103;3346;2679;4011
2020W104;3392;2741;4042
2020W105;3407;2757;4060
2020W106;3400;2719;4080
2020W107;3409;2688;4131
2020W108;3385;2635;4136
2020W109;3350;2590;4110
2020W110;3314;2573;4056
2020W111;3253;2536;3970
2020W112;3175;2476;3874
2020W113;3105;2462;3751
2020W114;3027;2446;3606
2020W115;2958;2422;3493
2020W116;2916;2400;3432
2020W117;2870;2363;3379
2020W118;2845;2338;3351
2020W119;2823;2328;3319
2020W120;2794;2296;3292
2020W121;2770;2275;3268
2020W122;2756;2275;3238
2020W123;2737;2262;3212
2020W124;2737;2264;3206
2020W125;2725;2268;3181
2020W126;2717;2266;3167
2020W127;2721;2254;3188
2020W128;2720;2247;3192
2020W129;2719;2235;3201
2020W130;2707;2231;3182
2020W131;2687;2208;3167
2020W132;2681;2177;3184
2020W133;2667;2166;3169
2020W134;2663;2181;3145
2020W135;2669;2190;3148
2020W136;2680;2207;3153
2020W137;2699;2221;3176
2020W138;2732;2252;3212
2020W139;2756;2277;3235
2020W140;2786;2294;3278
2020W141;2809;2320;3297
2020W142;2839;2346;3331
2020W143;2862;2349;3374
2020W144;2888;2368;3408
2020W145;2901;2368;3435
2020W146;2933;2402;3463
2020W147;2972;2441;3502
2020W148;3017;2465;3567
2020W149;3035;2439;3631
2020W150;3098;2492;3703
2020W151;3167;2538;3796
2020W152;3223;2582;3864
2020W153;3270;2627;3917
2021W101;3309;2660;3959
2021W102;3345;2684;4007
2021W103;3377;2709;4044
2021W104;3425;2774;4075
2021W105;3440;2788;4093
2021W106;3435;2755;4113
2021W107;3442;2722;4164
2021W108;3420;2671;4170
2021W109;3387;2628;4146
2021W110;3349;2608;4090
2021W111;3285;2566;4003
2021W112;3209;2510;3906
2021W113;3136;2492;3780
2021W114;3055;2476;3634
2021W115;2987;2452;3523
2021W116;2946;2430;3462
2021W117;2897;2388;3405
2021W118;2868;2363;3376
2021W119;2848;2354;3346
2021W120;2819;2319;3320
2021W121;2797;2301;3294
2021W122;2780;2298;3264
2021W123;2763;2286;3239
2021W124;2765;2294;3235
2021W125;2753;2295;3207
2021W126;2743;2293;3192
2021W127;2749;2282;3216
2021W128;2743;2272;3215
2021W129;2746;2263;3229
2021W130;2733;2260;3208
2021W131;2714;2237;3193
2021W132;2708;2205;3211
2021W133;2696;2195;3197
2021W134;2689;2206;3170
2021W135;2692;2215;3171
2021W136;2703;2230;3176
2021W137;2727;2248;3204
2021W138;2755;2275;3235
2021W139;2778;2301;3256
2021W140;2813;2320;3305
2021W141;2835;2346;3325
2021W142;2867;2373;3358
2021W143;2889;2377;3402
2021W144;2917;2398;3436
2021W145;2930;2398;3463
2021W146;2960;2430;3490
2021W147;3003;2475;3533
2021W148;3044;2493;3595
2021W149;3067;2471;3661
2021W150;3128;2524;3734
2021W151;3196;2567;3826
2021W152;3255;2613;3895
