Week;Seizoenspatroon met marges;Ondergrens;Bovengrens;VR naam;VR Code
2020 week 1;120;97;143;Groningen;VR01
2020 week 2;122;99;146;Groningen;VR01
2020 week 3;124;98;150;Groningen;VR01
2020 week 4;126;98;154;Groningen;VR01
2020 week 5;126;99;154;Groningen;VR01
2020 week 6;127;102;153;Groningen;VR01
2020 week 7;128;100;155;Groningen;VR01
2020 week 8;125;96;154;Groningen;VR01
2020 week 9;124;95;153;Groningen;VR01
2020 week 10;124;98;149;Groningen;VR01
2020 week 11;121;99;144;Groningen;VR01
2020 week 12;119;95;144;Groningen;VR01
2020 week 13;117;93;141;Groningen;VR01
2020 week 14;113;91;134;Groningen;VR01
2020 week 15;112;91;132;Groningen;VR01
2020 week 16;110;90;131;Groningen;VR01
2020 week 17;107;84;130;Groningen;VR01
2020 week 18;105;80;131;Groningen;VR01
2020 week 19;104;79;130;Groningen;VR01
2020 week 20;103;78;128;Groningen;VR01
2020 week 21;102;78;126;Groningen;VR01
2020 week 22;102;78;125;Groningen;VR01
2020 week 23;102;79;125;Groningen;VR01
2020 week 24;102;80;123;Groningen;VR01
2020 week 25;104;86;121;Groningen;VR01
2020 week 26;104;86;122;Groningen;VR01
2020 week 27;103;84;122;Groningen;VR01
2020 week 28;104;83;125;Groningen;VR01
2020 week 29;104;83;125;Groningen;VR01
2020 week 30;101;82;120;Groningen;VR01
2020 week 31;100;80;121;Groningen;VR01
2020 week 32;100;78;121;Groningen;VR01
2020 week 33;96;74;119;Groningen;VR01
2020 week 34;96;74;118;Groningen;VR01
2020 week 35;96;75;117;Groningen;VR01
2020 week 36;97;77;117;Groningen;VR01
2020 week 37;99;79;119;Groningen;VR01
2020 week 38;100;81;120;Groningen;VR01
2020 week 39;101;81;121;Groningen;VR01
2020 week 40;103;86;120;Groningen;VR01
2020 week 41;104;88;120;Groningen;VR01
2020 week 42;104;88;120;Groningen;VR01
2020 week 43;106;90;121;Groningen;VR01
2020 week 44;107;89;125;Groningen;VR01
2020 week 45;108;89;127;Groningen;VR01
2020 week 46;109;89;129;Groningen;VR01
2020 week 47;110;89;132;Groningen;VR01
2020 week 48;112;91;133;Groningen;VR01
2020 week 49;113;92;135;Groningen;VR01
2020 week 50;114;91;137;Groningen;VR01
2020 week 51;116;92;141;Groningen;VR01
2020 week 52;117;93;141;Groningen;VR01
2020 week 53;119;96;143;Groningen;VR01
2021 week 1;121;98;144;Groningen;VR01
2021 week 2;124;100;147;Groningen;VR01
2021 week 3;125;99;151;Groningen;VR01
2021 week 4;127;99;155;Groningen;VR01
2021 week 5;128;100;155;Groningen;VR01
2021 week 6;129;103;154;Groningen;VR01
2021 week 7;129;102;157;Groningen;VR01
2021 week 8;126;97;155;Groningen;VR01
2021 week 9;125;97;154;Groningen;VR01
2021 week 10;125;100;150;Groningen;VR01
2021 week 11;123;100;145;Groningen;VR01
2021 week 12;121;97;145;Groningen;VR01
2021 week 13;118;94;142;Groningen;VR01
2021 week 14;114;93;135;Groningen;VR01
2021 week 15;113;92;133;Groningen;VR01
2021 week 16;111;91;132;Groningen;VR01
2021 week 17;108;85;131;Groningen;VR01
2021 week 18;106;81;132;Groningen;VR01
2021 week 19;105;80;131;Groningen;VR01
2021 week 20;104;79;129;Groningen;VR01
2021 week 21;103;79;127;Groningen;VR01
2021 week 22;102;79;126;Groningen;VR01
2021 week 23;103;80;126;Groningen;VR01
2021 week 24;103;81;124;Groningen;VR01
2021 week 25;105;87;122;Groningen;VR01
2021 week 26;105;87;123;Groningen;VR01
2021 week 27;104;85;123;Groningen;VR01
2021 week 28;105;84;126;Groningen;VR01
2021 week 29;105;84;126;Groningen;VR01
2021 week 30;102;83;121;Groningen;VR01
2021 week 31;101;81;122;Groningen;VR01
2021 week 32;100;79;122;Groningen;VR01
2021 week 33;97;75;120;Groningen;VR01
2021 week 34;97;75;119;Groningen;VR01
2021 week 35;97;76;118;Groningen;VR01
2021 week 36;98;78;118;Groningen;VR01
2021 week 37;100;80;120;Groningen;VR01
2021 week 38;101;82;121;Groningen;VR01
2021 week 39;102;82;122;Groningen;VR01
2021 week 40;104;87;121;Groningen;VR01
2021 week 41;105;89;121;Groningen;VR01
2021 week 42;105;89;121;Groningen;VR01
2021 week 43;107;91;122;Groningen;VR01
2021 week 44;108;90;126;Groningen;VR01
2021 week 45;109;90;128;Groningen;VR01
2021 week 46;110;90;130;Groningen;VR01
2021 week 47;111;90;133;Groningen;VR01
2021 week 48;113;92;134;Groningen;VR01
2021 week 49;114;93;136;Groningen;VR01
2021 week 50;115;93;138;Groningen;VR01
2021 week 51;117;93;142;Groningen;VR01
2021 week 52;118;95;142;Groningen;VR01
2020 week 1;133;101;165;Fryslân;VR02
2020 week 2;135;105;164;Fryslân;VR02
2020 week 3;136;104;168;Fryslân;VR02
2020 week 4;139;112;167;Fryslân;VR02
2020 week 5;139;111;168;Fryslân;VR02
2020 week 6;138;111;165;Fryslân;VR02
2020 week 7;139;111;167;Fryslân;VR02
2020 week 8;139;112;166;Fryslân;VR02
2020 week 9;139;107;171;Fryslân;VR02
2020 week 10;139;107;172;Fryslân;VR02
2020 week 11;138;107;169;Fryslân;VR02
2020 week 12;135;104;165;Fryslân;VR02
2020 week 13;133;102;165;Fryslân;VR02
2020 week 14;130;101;160;Fryslân;VR02
2020 week 15;128;99;156;Fryslân;VR02
2020 week 16;125;98;152;Fryslân;VR02
2020 week 17;120;95;146;Fryslân;VR02
2020 week 18;120;94;145;Fryslân;VR02
2020 week 19;118;95;141;Fryslân;VR02
2020 week 20;117;95;139;Fryslân;VR02
2020 week 21;114;90;139;Fryslân;VR02
2020 week 22;114;92;136;Fryslân;VR02
2020 week 23;114;93;135;Fryslân;VR02
2020 week 24;115;96;134;Fryslân;VR02
2020 week 25;115;96;133;Fryslân;VR02
2020 week 26;115;98;133;Fryslân;VR02
2020 week 27;114;98;131;Fryslân;VR02
2020 week 28;114;99;129;Fryslân;VR02
2020 week 29;114;99;129;Fryslân;VR02
2020 week 30;113;98;128;Fryslân;VR02
2020 week 31;112;95;129;Fryslân;VR02
2020 week 32;111;93;129;Fryslân;VR02
2020 week 33;111;93;129;Fryslân;VR02
2020 week 34;112;91;132;Fryslân;VR02
2020 week 35;111;91;132;Fryslân;VR02
2020 week 36;111;90;133;Fryslân;VR02
2020 week 37;112;90;133;Fryslân;VR02
2020 week 38;114;93;135;Fryslân;VR02
2020 week 39;115;94;136;Fryslân;VR02
2020 week 40;116;93;138;Fryslân;VR02
2020 week 41;117;97;136;Fryslân;VR02
2020 week 42;120;100;140;Fryslân;VR02
2020 week 43;121;100;142;Fryslân;VR02
2020 week 44;121;102;141;Fryslân;VR02
2020 week 45;121;101;141;Fryslân;VR02
2020 week 46;121;102;140;Fryslân;VR02
2020 week 47;124;104;143;Fryslân;VR02
2020 week 48;124;105;144;Fryslân;VR02
2020 week 49;122;98;147;Fryslân;VR02
2020 week 50;125;100;150;Fryslân;VR02
2020 week 51;129;102;155;Fryslân;VR02
2020 week 52;131;103;158;Fryslân;VR02
2020 week 53;133;103;162;Fryslân;VR02
2021 week 1;134;102;166;Fryslân;VR02
2021 week 2;136;107;166;Fryslân;VR02
2021 week 3;138;105;170;Fryslân;VR02
2021 week 4;141;113;168;Fryslân;VR02
2021 week 5;141;112;169;Fryslân;VR02
2021 week 6;139;112;166;Fryslân;VR02
2021 week 7;140;112;168;Fryslân;VR02
2021 week 8;140;114;167;Fryslân;VR02
2021 week 9;140;108;172;Fryslân;VR02
2021 week 10;141;108;173;Fryslân;VR02
2021 week 11;139;108;170;Fryslân;VR02
2021 week 12;136;105;167;Fryslân;VR02
2021 week 13;135;103;166;Fryslân;VR02
2021 week 14;132;102;162;Fryslân;VR02
2021 week 15;129;100;158;Fryslân;VR02
2021 week 16;126;99;153;Fryslân;VR02
2021 week 17;122;96;147;Fryslân;VR02
2021 week 18;121;96;146;Fryslân;VR02
2021 week 19;119;96;142;Fryslân;VR02
2021 week 20;118;96;141;Fryslân;VR02
2021 week 21;116;91;140;Fryslân;VR02
2021 week 22;115;93;138;Fryslân;VR02
2021 week 23;115;94;136;Fryslân;VR02
2021 week 24;116;97;135;Fryslân;VR02
2021 week 25;116;97;134;Fryslân;VR02
2021 week 26;117;99;134;Fryslân;VR02
2021 week 27;116;99;132;Fryslân;VR02
2021 week 28;115;100;130;Fryslân;VR02
2021 week 29;115;100;130;Fryslân;VR02
2021 week 30;114;99;129;Fryslân;VR02
2021 week 31;113;96;130;Fryslân;VR02
2021 week 32;112;94;130;Fryslân;VR02
2021 week 33;112;94;130;Fryslân;VR02
2021 week 34;113;92;134;Fryslân;VR02
2021 week 35;112;92;133;Fryslân;VR02
2021 week 36;112;91;134;Fryslân;VR02
2021 week 37;113;91;135;Fryslân;VR02
2021 week 38;115;94;136;Fryslân;VR02
2021 week 39;116;95;137;Fryslân;VR02
2021 week 40;117;94;139;Fryslân;VR02
2021 week 41;118;98;138;Fryslân;VR02
2021 week 42;122;102;141;Fryslân;VR02
2021 week 43;122;101;143;Fryslân;VR02
2021 week 44;123;103;142;Fryslân;VR02
2021 week 45;122;102;143;Fryslân;VR02
2021 week 46;122;104;141;Fryslân;VR02
2021 week 47;125;105;144;Fryslân;VR02
2021 week 48;125;106;145;Fryslân;VR02
2021 week 49;124;99;148;Fryslân;VR02
2021 week 50;126;101;151;Fryslân;VR02
2021 week 51;130;103;157;Fryslân;VR02
2021 week 52;132;104;159;Fryslân;VR02
2020 week 1;112;90;134;Drenthe;VR03
2020 week 2;113;90;136;Drenthe;VR03
2020 week 3;113;89;137;Drenthe;VR03
2020 week 4;116;91;141;Drenthe;VR03
2020 week 5;116;89;143;Drenthe;VR03
2020 week 6;116;86;145;Drenthe;VR03
2020 week 7;115;85;146;Drenthe;VR03
2020 week 8;114;81;148;Drenthe;VR03
2020 week 9;112;80;144;Drenthe;VR03
2020 week 10;112;81;143;Drenthe;VR03
2020 week 11;110;82;138;Drenthe;VR03
2020 week 12;107;81;133;Drenthe;VR03
2020 week 13;105;83;128;Drenthe;VR03
2020 week 14;103;85;121;Drenthe;VR03
2020 week 15;102;88;116;Drenthe;VR03
2020 week 16;101;85;117;Drenthe;VR03
2020 week 17;100;86;114;Drenthe;VR03
2020 week 18;98;83;113;Drenthe;VR03
2020 week 19;98;83;114;Drenthe;VR03
2020 week 20;97;79;115;Drenthe;VR03
2020 week 21;96;79;114;Drenthe;VR03
2020 week 22;95;77;113;Drenthe;VR03
2020 week 23;95;79;111;Drenthe;VR03
2020 week 24;96;80;112;Drenthe;VR03
2020 week 25;95;80;110;Drenthe;VR03
2020 week 26;95;80;109;Drenthe;VR03
2020 week 27;95;81;109;Drenthe;VR03
2020 week 28;96;81;111;Drenthe;VR03
2020 week 29;96;80;112;Drenthe;VR03
2020 week 30;95;79;110;Drenthe;VR03
2020 week 31;93;77;110;Drenthe;VR03
2020 week 32;94;74;114;Drenthe;VR03
2020 week 33;94;75;114;Drenthe;VR03
2020 week 34;94;76;112;Drenthe;VR03
2020 week 35;94;77;111;Drenthe;VR03
2020 week 36;94;76;111;Drenthe;VR03
2020 week 37;95;77;112;Drenthe;VR03
2020 week 38;95;77;112;Drenthe;VR03
2020 week 39;95;79;111;Drenthe;VR03
2020 week 40;93;77;110;Drenthe;VR03
2020 week 41;93;77;110;Drenthe;VR03
2020 week 42;94;78;109;Drenthe;VR03
2020 week 43;96;79;112;Drenthe;VR03
2020 week 44;97;80;114;Drenthe;VR03
2020 week 45;98;81;114;Drenthe;VR03
2020 week 46;99;80;118;Drenthe;VR03
2020 week 47;102;83;121;Drenthe;VR03
2020 week 48;104;83;125;Drenthe;VR03
2020 week 49;104;81;126;Drenthe;VR03
2020 week 50;105;85;126;Drenthe;VR03
2020 week 51;107;85;128;Drenthe;VR03
2020 week 52;109;83;135;Drenthe;VR03
2020 week 53;111;87;135;Drenthe;VR03
2021 week 1;113;91;135;Drenthe;VR03
2021 week 2;114;92;137;Drenthe;VR03
2021 week 3;114;91;138;Drenthe;VR03
2021 week 4;117;92;142;Drenthe;VR03
