RWZI_AWZI_CODE,RWZI_AWZI_NAME
10001,Zeist
10003,De Bilt
10008,Driebergen
10009,Utrecht
10010,Soest
10011,Maarssenbroek
10012,De Meern
10020,Woudenberg
10021,Veenendaal
10024,Montfoort
10025,Bunnik
10027,Amersfoort
10028,Nieuwegein
10029,Wijk Bij Duurstede
10030,Maarssen
10031,Breukelen
10032,Oudewater
10034,Ronde Venen
10035,Rhenen
10036,Houten
10037,Loenen
10038,Lopik
1008,Stadskanaal
1010,Ter Apel
1011,Uithuizermeeden
1023,Zuidhorn 1
1024,Ulrum
1025,Zuidhorn 2
1026,Hoogezand
1027,Oude Pekela
1028,Onderdendam
1029,Leek
1030,Winsum
1031,Gaarkeuken
1032,Marum
1033,Garmerwolde
1034,Feerwerd
1036,Hoogkerk
1038,Scheve klap
1039,Scheemda
1040,Vriescheloo
1041,Wehe den Hoorn
1044,Delfzijl
1045,Veendam
1046,Bellingwolde
11004,Hilversum
11005,Amstelveen
11006,Uithoorn
11008,Blaricum
11010,Weesp
11012,Huizen
11013,Horstermeer
11014,Amsterdam West
12001,Heiloo
12006,Alkmaar
12010,Zaandam-Oost
12012,Everstekoog
12013,Geestmerambacht
12014,Beemster
12016,Katwoude
12018,Wieringen
12019,Stolpen
12021,Wervershoof
12022,Beverwijk
12023,Den Helder
12024,Ursem
12025,Wieringermeer
12026,Oosthuizen
13003,Velsen
13004,Heemstede
13005,Zwanenburg
13010,Haarlem Waarderpolder
13011,Rijsenhout
13012,Haarlem Schalkwijk
13023,Noordwijk
13030,Leimuiden
13033,Leiden Zuid-West
13034,Lisse
13035,Alphen Noord
13036,Rijnsaterwoude
13038,Nieuwveen
13039,Gouda
13041,Katwijk
13042,Bodegraven
13044,Zwaanshoek
13045,Aalsmeer
13046,Leiden Noord
13047,Nieuwe Wetering
13048,Waddinxveen-Randenburg
13049,Alphen Kerk en Zanen
14002,Woerden
14003,Leidsche Rijn
15004,Nieuwe Waterweg
15005,Houtrust
15007,De Groote Lucht
15008,Harnaschpolder
16009,Kortenoord
16010,Kralingseveer
16011,Groenedijk
17002,Bergambacht
17004,Ammerstol
17005,Stolwijk
17011,Ridderkerk
17013,Papendrecht
17016,Alblasserdam
17026,Hardinxveld-Giessendam
17029,Vianen
17040,Oostvoorne
17041,Hellevoetsluis
17043,Strijen
17044,Dordrecht
17045,Oud Beijerland
17048,Goedereede
17052,Sliedrecht
17053,De Groote Zaag
17054,Piershil
17055,Middelharnis
17056,Oude Tonge
17057,Rozenburg
17061,Dokhaven
17062,Heenvliet
17063,Leerdam
17065,Groot-Ammers
17066,Numansdorp
17067,Haastrecht
17068,Berkenwoude
17070,Hoogvliet
17074,Den Bommel
17075,Ooltgensplaat
17076,Schelluinen
17077,Spijkenisse
17078,Zwijndrecht
17079,Barendrecht
18006,Westerschouwen
18007,Mastgat
18009,De Verseput
19001,Sint Maartensdijk
19003,Tholen
20009,Waarde
20010,Camperlandpolder
20011,Willem Annapolder
2002,Oosterwolde
2011,Leeuwarden
2012,Drachten
2013,Burgum
2015,Gorredijk
2016,Wolvega
2017,Sint Annaparochie
2018,Sneek
2019,Kootstertille
2020,Ameland
2021,Damwâld
2022,Joure
2023,Bolsward
2024,Sloten
2025,Akkrum
2026,Terschelling
2027,Lemmer
2028,Dokkum
2029,Burdaard
2030,Workum
2031,Heerenveen
2032,Harlingen
2036,Grou
2037,Warns
2038,Franeker
2040,Vlieland
2041,Schiermonnikoog
21001,Walcheren
22007,Groede
22008,Retranchement
22012,Oostburg
22013,Breskens
23002,Terneuzen
24001,Hulst
24002,Kloosterzande
25001,Rijen
25003,Waalwijk
25008,Ossendrecht
25012,Putte
25013,Riel
25014,Waspik
25016,Nieuw-Vossemeer
25017,Nieuwveer
25019,Chaam
25020,Kaatsheuvel
25021,Bath
25023,Dongemond
25025,Halsteren
25026,Baarle-Nassau
25027,Lage Zwaluwe
25028,Dinteloord
25029,Willemstad
26003,Wijk En Aalburg
26004,Eethen
26005,Sleeuwijk
26006,Dussen
27003,Eindhoven
27004,Boxtel
27005,Hapert
27006,Soerendonk
27008,'s Hertogenbosch
27009,Haaren
27010,Sint-Oedenrode
27011,Biest-Houtakker
28002,Asten
28003,Aarle-Rixtel
28005,Dinther
28006,Vinkel
29002,Oijen
29003,Land van Cuijk
30003,Limmel
30005,Weert
30007,Bosscherveld
3001,Beilen
30011,Simpelveld
30013,Rimburg
30014,Kerkrade
30015,Hoensbroek
30016,Heugem
30017,Venlo
30018,Meijel
30019,Wijlre
30020,Venray
30021,Stein
30022,Susteren
30023,Panheel
30024,Roermond
30025,Gennep
3010,Assen
3014,Meppel
3022,Emmen
3023,Tweede Exloermond
3027,Smilde
3028,Sleen
3030,Eelde
3031,Gieten
3032,Dieverbrug
3033,Echten
3034,Coevorden
31005,Westpoort
32002,Tilburg
33001,Foxhol
4005,Genemuiden
4006,Olst
4016,Ommen
4017,Vollenhove
4018,Heino
4019,Deventer
4020,Steenwijk
4021,Raalte
4022,Holten
