publicatiedatumRIVM;aantal_nieuw_besmette_verpleeghuis_locaties;aantal_nieuw_besmettingsvrije_verpleeghuis_locaties;aantal_besmette_verpleeghuis_locaties
2020-02-28;0;0;0
2020-02-29;0;0;0
2020-03-01;0;0;0
2020-03-02;0;0;0
2020-03-03;0;0;0
2020-03-04;0;0;0
2020-03-05;0;0;0
2020-03-06;1;0;1
2020-03-07;0;0;1
2020-03-08;1;0;2
2020-03-09;4;0;6
2020-03-10;1;0;7
2020-03-11;2;0;9
2020-03-12;5;0;14
2020-03-13;3;0;17
2020-03-14;10;0;27
2020-03-15;3;0;30
2020-03-16;12;0;42
2020-03-17;14;1;55
2020-03-18;18;0;73
2020-03-19;20;0;93
2020-03-20;36;0;129
2020-03-21;44;0;173
2020-03-22;31;0;204
2020-03-23;33;0;237
2020-03-24;36;0;273
2020-03-25;43;0;316
2020-03-26;46;0;362
2020-03-27;64;1;425
2020-03-28;56;0;481
2020-03-29;35;0;516
2020-03-30;35;2;550
2020-03-31;29;2;577
2020-04-01;33;2;608
2020-04-02;36;1;644
2020-04-03;28;2;670
2020-04-04;26;3;693
2020-04-05;19;2;710
2020-04-06;23;2;731
2020-04-07;21;4;748
2020-04-08;27;3;772
2020-04-09;18;4;786
2020-04-10;23;6;803
2020-04-11;18;9;812
2020-04-12;17;7;822
2020-04-13;14;12;824
2020-04-14;10;10;824
2020-04-15;13;10;827
2020-04-16;17;17;827
2020-04-17;15;18;824
2020-04-18;9;14;819
2020-04-19;11;17;813
2020-04-20;13;9;818
2020-04-21;11;16;813
2020-04-22;11;24;800
2020-04-23;6;20;786
2020-04-24;7;13;781
2020-04-25;10;18;773
2020-04-26;5;15;763
2020-04-27;3;23;743
2020-04-28;4;21;726
2020-04-29;4;20;710
2020-04-30;6;23;693
2020-05-01;4;24;673
2020-05-02;7;25;655
2020-05-03;5;23;637
2020-05-04;5;14;628
2020-05-05;8;28;609
2020-05-06;9;21;597
2020-05-07;7;26;578
2020-05-08;4;18;564
2020-05-09;5;26;543
2020-05-10;5;16;532
2020-05-11;3;20;515
2020-05-12;1;21;495
2020-05-13;5;25;475
2020-05-14;1;27;449
2020-05-15;0;24;425
2020-05-16;5;15;415
2020-05-17;4;29;390
2020-05-18;4;15;379
2020-05-19;2;16;365
2020-05-20;5;18;352
2020-05-21;1;20;333
2020-05-22;0;21;312
2020-05-23;1;24;289
2020-05-24;3;13;279
2020-05-25;1;18;262
2020-05-26;2;11;253
2020-05-27;3;14;242
2020-05-28;1;15;228
2020-05-29;2;18;212
2020-05-30;0;14;198
2020-05-31;4;11;191
2020-06-01;0;9;182
2020-06-02;1;11;172
2020-06-03;2;7;167
2020-06-04;1;14;154
2020-06-05;0;13;142
2020-06-06;2;6;138
2020-06-07;1;12;127
2020-06-08;3;6;124
2020-06-09;2;10;116
2020-06-10;2;9;109
2020-06-11;1;8;102
2020-06-12;1;5;98
2020-06-13;4;11;91
2020-06-14;1;4;88
2020-06-15;2;3;87
2020-06-16;0;4;83
2020-06-17;0;6;77
2020-06-18;2;5;74
2020-06-19;1;5;70
2020-06-20;1;9;62
2020-06-21;1;4;59
2020-06-22;0;1;58
2020-06-23;1;7;52
2020-06-24;1;4;49
2020-06-25;3;5;47
2020-06-26;2;1;48
2020-06-27;1;3;46
2020-06-28;0;1;45
2020-06-29;0;5;40
2020-06-30;0;2;38
2020-07-01;1;3;36
2020-07-02;1;0;37
2020-07-03;2;5;34
2020-07-04;2;1;35
2020-07-05;0;3;32
2020-07-06;1;3;30
2020-07-07;0;2;28
2020-07-08;0;1;27
2020-07-09;1;0;28
2020-07-10;0;1;27
2020-07-11;0;1;26
2020-07-12;0;2;24
2020-07-13;0;1;23
2020-07-14;0;0;23
2020-07-15;2;1;24
2020-07-16;0;4;20
2020-07-17;1;2;19
2020-07-18;0;0;19
2020-07-19;1;1;19
2020-07-20;0;0;19
2020-07-21;0;2;17
2020-07-22;1;0;18
2020-07-23;2;2;18
2020-07-24;0;1;17
2020-07-25;1;3;15
2020-07-26;0;0;15
2020-07-27;0;1;14
2020-07-28;0;1;13
2020-07-29;1;1;13
2020-07-30;0;1;12
2020-07-31;0;1;11
2020-08-01;0;0;11
2020-08-02;3;1;13
2020-08-03;0;0;13
2020-08-04;3;0;16
2020-08-05;2;0;18
2020-08-06;2;0;20
