Meldingsdatum;Aantal
2020-02-27;0
2020-02-28;0
2020-02-29;0
2020-03-01;0
2020-03-02;0
2020-03-03;0
2020-03-04;1
2020-03-05;1
2020-03-06;0
2020-03-07;3
2020-03-08;4
2020-03-09;5
2020-03-10;12
2020-03-11;14
2020-03-12;12
2020-03-13;7
2020-03-14;8
2020-03-15;23
2020-03-16;27
2020-03-17;33
2020-03-18;49
2020-03-19;48
2020-03-20;80
2020-03-21;70
2020-03-22;76
2020-03-23;84
2020-03-24;123
2020-03-25;154
2020-03-26;169
2020-03-27;176
2020-03-28;157
2020-03-29;113
2020-03-30;157
2020-03-31;185
2020-04-01;167
2020-04-02;178
2020-04-03;226
2020-04-04;177
2020-04-05;182
2020-04-06;154
2020-04-07;233
2020-04-08;250
2020-04-09;274
2020-04-10;278
2020-04-11;160
2020-04-12;170
2020-04-13;135
2020-04-14;155
2020-04-15;237
2020-04-16;226
2020-04-17;252
2020-04-18;217
2020-04-19;109
2020-04-20;157
2020-04-21;166
2020-04-22;225
2020-04-23;180
2020-04-24;148
2020-04-25;119
2020-04-26;84
2020-04-27;44
2020-04-28;121
2020-04-29;118
2020-04-30;113
2020-05-01;129
2020-05-02;68
2020-05-03;39
2020-05-04;84
2020-05-05;54
2020-05-06;72
2020-05-07;70
2020-05-08;59
2020-05-09;63
2020-05-10;36
2020-05-11;52
2020-05-12;60
2020-05-13;89
2020-05-14;40
2020-05-15;42
2020-05-16;29
2020-05-17;25
2020-05-18;28
2020-05-19;21
2020-05-20;58
2020-05-21;12
2020-05-22;32
2020-05-23;12
2020-05-24;14
2020-05-25;20
2020-05-26;15
2020-05-27;16
2020-05-28;20
2020-05-29;8
2020-05-30;7
2020-05-31;5
2020-06-01;3
2020-06-02;4
2020-06-03;7
2020-06-04;18
2020-06-05;17
2020-06-06;5
2020-06-07;4
2020-06-08;7
2020-06-09;12
2020-06-10;9
2020-06-11;10
2020-06-12;7
2020-06-13;5
2020-06-14;4
2020-06-15;5
2020-06-16;2
2020-06-17;3
2020-06-18;3
2020-06-19;6
2020-06-20;2
2020-06-21;1
2020-06-22;1
2020-06-23;3
2020-06-24;9
2020-06-25;7
2020-06-26;1
2020-06-27;3
2020-06-28;1
2020-06-29;8
2020-06-30;1
2020-07-01;2
2020-07-02;2
2020-07-03;3
2020-07-04;1
2020-07-05;1
2020-07-06;0
2020-07-07;0
2020-07-08;1
2020-07-09;0
2020-07-10;0
2020-07-11;0
2020-07-12;0
2020-07-13;0
2020-07-14;5
2020-07-15;1
2020-07-16;2
2020-07-17;6
2020-07-18;1
2020-07-19;2
2020-07-20;1
2020-07-21;3
2020-07-22;3
2020-07-23;3
2020-07-24;4
2020-07-25;2
2020-07-26;2
2020-07-27;2
2020-07-28;2
2020-07-29;1
2020-07-30;3
2020-07-31;5
2020-08-01;8
2020-08-02;1
2020-08-03;4
2020-08-04;7
2020-08-05;9
2020-08-06;4
2020-08-07;8
2020-08-08;3
2020-08-09;2
2020-08-10;13
2020-08-11;9
2020-08-12;2
2020-08-13;25
2020-08-14;14
2020-08-15;2
2020-08-16;6
2020-08-17;6
2020-08-18;8
2020-08-19;13
2020-08-20;7
2020-08-21;2
2020-08-22;6
2020-08-23;7
2020-08-24;8
2020-08-25;8
2020-08-26;6
2020-08-27;10
2020-08-28;8
2020-08-29;2
2020-08-30;5
2020-08-31;11
2020-09-01;1
2020-09-02;12
2020-09-03;22
2020-09-04;15
2020-09-05;23
2020-09-06;11
2020-09-07;16
2020-09-08;19
2020-09-09;17
2020-09-10;24
2020-09-11;34
2020-09-12;4
2020-09-13;20
2020-09-14;27
2020-09-15;55
2020-09-16;43
2020-09-17;47
2020-09-18;43
2020-09-19;27
2020-09-20;36
2020-09-21;19
2020-09-22;48
2020-09-23;45
2020-09-24;49
2020-09-25;49
2020-09-26;46
2020-09-27;44
2020-09-28;46
2020-09-29;35
2020-09-30;54
2020-10-01;68
2020-10-02;65
2020-10-03;62
2020-10-04;64
2020-10-05;59
2020-10-06;107
2020-10-07;115
2020-10-08;110
2020-10-09;100
2020-10-10;134
2020-10-11;57
2020-10-12;74
2020-10-13;64
2020-10-14;1
