REGIO,GMCODE,VRCODE,VRNAME,INHABITANTS
Aa en Hunze,GM1680,VR03,Drenthe,25445
Aalsmeer,GM0358,VR13,Amsterdam-Amstelland,31859
Aalten,GM0197,VR06,Noord-enOost-Gelderland,27121
Achtkarspelen,GM0059,VR02,Fryslân,27843
Alblasserdam,GM0482,VR18,Zuid-Holland-Zuid,20165
Albrandswaard,GM0613,VR17,Rotterdam-Rijnmond,25590
Alkmaar,GM0361,VR10,Noord-Holland-Noord,109436
Almelo,GM0141,VR05,Twente,73107
Almere,GM0034,VR25,Flevoland,211893
Alphen aan den Rijn,GM0484,VR16,Hollands-Midden,111897
Alphen-Chaam,GM1723,VR20,Midden-enWest-Brabant,10203
Altena,GM1959,VR20,Midden-enWest-Brabant,55967
Ameland,GM0060,VR02,Fryslân,3716
Amersfoort,GM0307,VR09,Utrecht,157276
Amstelveen,GM0362,VR13,Amsterdam-Amstelland,91675
Amsterdam,GM0363,VR13,Amsterdam-Amstelland,872757
Apeldoorn,GM0200,VR06,Noord-enOost-Gelderland,163818
Appingedam,GM0003,VR01,Groningen,11642
Arnhem,GM0202,VR07,Gelderland-Midden,161348
Assen,GM0106,VR03,Drenthe,68599
Asten,GM0743,VR22,Brabant-Zuidoost,16721
Baarle-Nassau,GM0744,VR20,Midden-enWest-Brabant,6859
Baarn,GM0308,VR09,Utrecht,24868
Barendrecht,GM0489,VR17,Rotterdam-Rijnmond,48714
Barneveld,GM0203,VR07,Gelderland-Midden,59082
Beek (L.),GM0888,VR24,Limburg-Zuid,15865
Beekdaelen,GM1954,VR24,Limburg-Zuid,35938
Beemster,GM0370,VR11,Zaanstreek-Waterland,10022
Beesel,GM0889,VR23,Limburg-Noord,13482
Berg en Dal,GM1945,VR08,Gelderland-Zuid,34992
Bergeijk,GM1724,VR22,Brabant-Zuidoost,18635
Bergen (L.),GM0893,VR23,Limburg-Noord,13085
Bergen (NH.),GM0373,VR10,Noord-Holland-Noord,29839
Bergen op Zoom,GM0748,VR20,Midden-enWest-Brabant,67496
Berkelland,GM1859,VR06,Noord-enOost-Gelderland,43747
Bernheze,GM1721,VR21,Brabant-Noord,31240
Best,GM0753,VR22,Brabant-Zuidoost,29988
Beuningen,GM0209,VR08,Gelderland-Zuid,25890
Beverwijk,GM0375,VR12,Kennemerland,41626
De Bilt,GM0310,VR09,Utrecht,43137
Bladel,GM1728,VR22,Brabant-Zuidoost,20390
Blaricum,GM0376,VR14,GooienVechtstreek,11540
Bloemendaal,GM0377,VR12,Kennemerland,23571
Bodegraven-Reeuwijk,GM1901,VR16,Hollands-Midden,34872
Boekel,GM0755,VR21,Brabant-Noord,10785
Borger-Odoorn,GM1681,VR03,Drenthe,25559
Borne,GM0147,VR05,Twente,23312
Borsele,GM0654,VR19,Zeeland,22739
Boxmeer,GM0756,VR21,Brabant-Noord,29365
Boxtel,GM0757,VR21,Brabant-Noord,30801
Breda,GM0758,VR20,Midden-enWest-Brabant,184069
Brielle,GM0501,VR17,Rotterdam-Rijnmond,17271
Bronckhorst,GM1876,VR06,Noord-enOost-Gelderland,36055
Brummen,GM0213,VR06,Noord-enOost-Gelderland,20726
Brunssum,GM0899,VR24,Limburg-Zuid,27821
Bunnik,GM0312,VR09,Utrecht,15191
Bunschoten,GM0313,VR09,Utrecht,21866
Buren,GM0214,VR08,Gelderland-Zuid,26749
Capelle aan den IJssel,GM0502,VR17,Rotterdam-Rijnmond,67122
Castricum,GM0383,VR10,Noord-Holland-Noord,35986
Coevorden,GM0109,VR03,Drenthe,35297
Cranendonck,GM1706,VR22,Brabant-Zuidoost,21138
Cuijk,GM1684,VR21,Brabant-Noord,25130
Culemborg,GM0216,VR08,Gelderland-Zuid,28955
Dalfsen,GM0148,VR04,IJsselland,28587
Dantumadiel,GM1891,VR02,Fryslân,18922
Delft,GM0503,VR15,Haaglanden,103595
Delfzijl,GM0010,VR01,Groningen,24678
Deurne,GM0762,VR22,Brabant-Zuidoost,32471
Deventer,GM0150,VR04,IJsselland,100719
Diemen,GM0384,VR13,Amsterdam-Amstelland,30780
Dinkelland,GM1774,VR05,Twente,26461
Doesburg,GM0221,VR07,Gelderland-Midden,11077
Doetinchem,GM0222,VR06,Noord-enOost-Gelderland,58001
Dongen,GM0766,VR20,Midden-enWest-Brabant,26222
Dordrecht,GM0505,VR18,Zuid-Holland-Zuid,119284
Drechterland,GM0498,VR10,Noord-Holland-Noord,19719
Drimmelen,GM1719,VR20,Midden-enWest-Brabant,27272
Dronten,GM0303,VR25,Flevoland,41555
Druten,GM0225,VR08,Gelderland-Zuid,18926
Duiven,GM0226,VR07,Gelderland-Midden,25126
Echt-Susteren,GM1711,VR23,Limburg-Noord,31610
Edam-Volendam,GM0385,VR11,Zaanstreek-Waterland,36197
Ede,GM0228,VR07,Gelderland-Midden,117165
Eemnes,GM0317,VR09,Utrecht,9247
Eersel,GM0770,VR22,Brabant-Zuidoost,19313
Eijsden-Margraten,GM1903,VR24,Limburg-Zuid,25768
Eindhoven,GM0772,VR22,Brabant-Zuidoost,234394
Elburg,GM0230,VR06,Noord-enOost-Gelderland,23161
Emmen,GM0114,VR03,Drenthe,107048
Enkhuizen,GM0388,VR10,Noord-Holland-Noord,18591
Enschede,GM0153,VR05,Twente,159640
Epe,GM0232,VR06,Noord-enOost-Gelderland,33178
Ermelo,GM0233,VR06,Noord-enOost-Gelderland,27008
Etten-Leur,GM0777,VR20,Midden-enWest-Brabant,43878
De Fryske Marren,GM1940,VR02,Fryslân,51564
Geertruidenberg,GM0779,VR20,Midden-enWest-Brabant,21544
Geldrop-Mierlo,GM1771,VR22,Brabant-Zuidoost,39726
Gemert-Bakel,GM1652,VR22,Brabant-Zuidoost,30723
Gennep,GM0907,VR23,Limburg-Noord,16921
Gilze en Rijen,GM0784,VR20,Midden-enWest-Brabant,26431
Goeree-Overflakkee,GM1924,VR17,Rotterdam-Rijnmond,50049
Goes,GM0664,VR19,Zeeland,38082
Goirle,GM0785,VR20,Midden-enWest-Brabant,23904
Gooise Meren,GM1942,VR14,GooienVechtstreek,58055
Gorinchem,GM0512,VR18,Zuid-Holland-Zuid,37022
Gouda,GM0513,VR16,Hollands-Midden,73427
Grave,GM0786,VR21,Brabant-Noord,12436
's-Gravenhage (gemeente),GM0518,VR15,Haaglanden,545838
Groningen (gemeente),GM0014,VR01,Groningen,232874
Gulpen-Wittem,GM1729,VR24,Limburg-Zuid,14171
Haaksbergen,GM0158,VR05,Twente,24311
Haaren,GM0788,VR21,Brabant-Noord,14370
Haarlem,GM0392,VR12,Kennemerland,162902
Haarlemmermeer,GM0394,VR12,Kennemerland,156002
Halderberge,GM1655,VR20,Midden-enWest-Brabant,30284
Hardenberg,GM0160,VR04,IJsselland,60948
Harderwijk,GM0243,VR06,Noord-enOost-Gelderland,48414
Hardinxveld-Giessendam,GM0523,VR18,Zuid-Holland-Zuid,18295
Harlingen,GM0072,VR02,Fryslân,15722
