ID,VGRNR,VGRNAAM,INHABITANTS,DATE_LAST_INSERTED
1,NL00,Nederland,17408573,2020-08-03 10:49:30.093
2,VR01,Groningen,586061,2020-08-03 10:49:30.100
3,VR02,Fryslân,649944,2020-08-03 10:49:30.100
4,VR03,Drenthe,493657,2020-08-03 10:49:30.100
5,VR04,IJsselland,531354,2020-08-03 10:49:30.100
6,VR05,Twente,631146,2020-08-03 10:49:30.100
7,VR06,Noord- en Oost-Gelderland,827802,2020-08-03 10:49:30.100
8,VR07,Gelderland-Midden,696615,2020-08-03 10:49:30.100
9,VR08,Gelderland-Zuid,561725,2020-08-03 10:49:30.100
10,VR09,Utrecht,1354979,2020-08-03 10:49:30.100
11,VR10,Noord-Holland-Noord,662761,2020-08-03 10:49:30.100
12,VR11,Zaanstreek-Waterland,339116,2020-08-03 10:49:30.100
13,VR12,Kennemerland,550035,2020-08-03 10:49:30.100
14,VR13,Amsterdam-Amstelland,1070603,2020-08-03 10:49:30.100
15,VR14,Gooi en Vechtstreek,257096,2020-08-03 10:49:30.100
16,VR15,Haaglanden,1116334,2020-08-03 10:49:30.100
17,VR16,Hollands-Midden,808979,2020-08-03 10:49:30.100
18,VR17,Rotterdam-Rijnmond,1323816,2020-08-03 10:49:30.100
19,VR18,Zuid-Holland-Zuid,459456,2020-08-03 10:49:30.100
20,VR19,Zeeland,383519,2020-08-03 10:49:30.100
21,VR20,Midden- en West-Brabant,1119364,2020-08-03 10:49:30.100
22,VR21,Brabant-Noord,663315,2020-08-03 10:49:30.100
23,VR22,Brabant-Zuidoost,780753,2020-08-03 10:49:30.100
24,VR23,Limburg-Noord,520022,2020-08-03 10:49:30.100
25,VR24,Limburg-Zuid,597142,2020-08-03 10:49:30.100
26,VR25,Flevoland,422979,2020-08-03 10:49:30.100
