ID,RWZI_AWZI_code,RWZI_AWZI_name,DATE_LAST_INSERTED
1,1008,Stadskanaal,2020-08-18 07:55:23.363
2,1010,Ter Apel,2020-08-18 07:55:23.363
3,1011,Uithuizermeeden,2020-08-18 07:55:23.363
4,1024,Ulrum,2020-08-18 07:55:23.363
5,1025,Zuidhorn,2020-08-18 07:55:23.363
6,1026,Hoogezand,2020-08-18 07:55:23.363
7,1027,Oude Pekela,2020-08-18 07:55:23.363
8,1028,Onderdendam,2020-08-18 07:55:23.363
9,1029,Leek,2020-08-18 07:55:23.363
10,1030,Winsum,2020-08-18 07:55:23.363
11,1031,Gaarkeuken,2020-08-18 07:55:23.363
12,1032,Marum,2020-08-18 07:55:23.363
13,1033,Garmerwolde,2020-08-18 07:55:23.363
14,1034,Feerwerd,2020-08-18 07:55:23.363
15,1036,Hoogkerk,2020-08-18 07:55:23.363
16,1038,Scheveklap,2020-08-18 07:55:23.363
17,1039,Scheemda,2020-08-18 07:55:23.363
18,1040,Vriescheloo,2020-08-18 07:55:23.363
19,1041,Wehe-den Hoorn,2020-08-18 07:55:23.363
20,1044,Delfzijl,2020-08-18 07:55:23.363
21,1045,Veendam,2020-08-18 07:55:23.363
22,1046,Bellingwolde,2020-08-18 07:55:23.363
23,2002,Oosterwolde (A+B),2020-08-18 07:55:23.363
24,2011,Leeuwarden,2020-08-18 07:55:23.363
25,2012,Drachten,2020-08-18 07:55:23.363
26,2013,Bergum-Suameer (Suameer),2020-08-18 07:55:23.363
27,2015,Gorredijk,2020-08-18 07:55:23.363
28,2016,Wolvega,2020-08-18 07:55:23.363
29,2017,St Annaparochie,2020-08-18 07:55:23.363
30,2018,Sneek,2020-08-18 07:55:23.363
31,2019,Kootstertille,2020-08-18 07:55:23.363
32,2020,Ameland,2020-08-18 07:55:23.363
33,2021,Damwoude,2020-08-18 07:55:23.363
34,2022,Joure,2020-08-18 07:55:23.363
35,2023,Bolsward,2020-08-18 07:55:23.363
36,2024,Sloten,2020-08-18 07:55:23.363
37,2025,Akkrum,2020-08-18 07:55:23.363
38,2026,Terschelling,2020-08-18 07:55:23.363
39,2027,Lemmer,2020-08-18 07:55:23.363
40,2028,Dokkum,2020-08-18 07:55:23.363
41,2029,Birdaard,2020-08-18 07:55:23.363
42,2030,Workum,2020-08-18 07:55:23.363
43,2031,Heerenveen-Noord,2020-08-18 07:55:23.363
44,2032,Harlingen,2020-08-18 07:55:23.363
45,2036,Grouw,2020-08-18 07:55:23.363
46,2037,Warns,2020-08-18 07:55:23.363
47,2038,Franeker,2020-08-18 07:55:23.363
48,2040,Vlieland,2020-08-18 07:55:23.363
49,2041,Schiermonnikoog,2020-08-18 07:55:23.363
50,3001,Beilen,2020-08-18 07:55:23.363
51,3010,Assen,2020-08-18 07:55:23.363
52,3014,Meppel,2020-08-18 07:55:23.363
53,3022,Emmen,2020-08-18 07:55:23.363
54,3023,Tweede Exloermond,2020-08-18 07:55:23.363
55,3027,Smilde,2020-08-18 07:55:23.363
56,3028,Sleen,2020-08-18 07:55:23.363
57,3030,Eelde,2020-08-18 07:55:23.363
58,3031,Gieten,2020-08-18 07:55:23.363
59,3032,Dieverbrug,2020-08-18 07:55:23.363
60,3033,Echten (Dr),2020-08-18 07:55:23.363
61,3034,Coevorden,2020-08-18 07:55:23.363
62,4005,Genemuiden,2020-08-18 07:55:23.363
63,4006,Olst/Wijhe (Olst),2020-08-18 07:55:23.363
64,4016,Ommen,2020-08-18 07:55:23.363
65,4017,Vollenhove,2020-08-18 07:55:23.363
66,4018,Heino,2020-08-18 07:55:23.363
67,4019,Deventer,2020-08-18 07:55:23.363
68,4020,Steenwijk,2020-08-18 07:55:23.363
69,4021,Raalte,2020-08-18 07:55:23.363
70,4022,Holten,2020-08-18 07:55:23.363
71,4023,Kampen,2020-08-18 07:55:23.363
72,4024,Hardenberg,2020-08-18 07:55:23.363
73,4025,Dalfsen,2020-08-18 07:55:23.363
74,4026,Zwolle,2020-08-18 07:55:23.363
